"Rows from: systek_raw_rows","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"hiveautonomy.no","Hive Autonomy","http://hiveautonomy.no/","hiveautonomy.no","929 765 060","https://www.proff.no/selskap/hive-autonomy/kristiansand-s/dataprogramvare-og-utvikling/IFDK3B8009O","NOK -22,047,000 (2024)","NOK 2,172,000 (2024)","Dataprogramvare og -utvikling","26","Stemmane 12, 4636 Kristiansand S","2025-12-23 09:39:58.726+00",
,,"optimera.no","Optimera AS","https://www.optimera.no/","optimera.no","","","","","","0","Minde Alle 43, 5068 Bergen","2025-12-23 09:39:58.726+00",
,,"samey.no","Samey Robotics AS","https://Samey.no","samey.no","929 924 835","https://www.proff.no/selskap/samey-robotics-as/-/maskiner-produksjonsutstyr-b%C3%A5ter-og-luftfart%C3%B8yer-agentur/IFDNILF10PR","NOK 2 968 000 (2024)","NOK 16 959 000 (2024)","Agenturer, Maskiner, produksjonsutstyr, båter og luftfartøyer - agentur","6","Baseveien 15, 6531 Averøy","2025-12-23 09:39:58.726+00",
,,"jdeprofessional.no","Jacobs Douwe Egberts Norge (JDE)","http://www.jdeprofessional.no","jdeprofessional.no","","","","","","0","0663 Oslo","2025-12-23 09:39:59.004+00",
,,"bluelice.no","Blue Lice","bluelice.no","bluelice.no","918 864 474","https://www.proff.no/selskap/blue-lice-as/n%C3%A6rb%C3%B8/tekniske-konsulenter/IF72GD601OU","-12 708 (1000 NOK, 2024)","2 349 (1000 NOK, 2024)","Tekniske konsulenter, Konsulenter","10","Nærbø","2025-12-23 09:39:59.004+00",
,,"stingray.no","Stingray Marine Solutions AS","https://www.stingray.no/","stingray.no","999 059 198","https://www.proff.no/selskap/stingray-marine-solutions-as/oslo/tekniske-konsulenter/IGITB0E01OU","NOK 103 643 000 (2024)","NOK 830 956 000 (2024)","Tekniske konsulenter / Konsulenter","255","Stålfjæra 26, 0975 Oslo, Norge, 0975 Oslo","2025-12-23 09:39:59.004+00",
,,"detec.no","Detec AS","https://detec.no","detec.no","934 236 025","https://www.proff.no/selskap/detec-as/fornebu/dataprogramvare-og-utvikling/IFG7X4P009O","NOK -997 (Beløp i 1000) (2024)","NOK 9 749 (Beløp i 1000) (2024)","Dataprogramvare og -utvikling","6","John Strandruds vei 14,, 1360 Fornebu","2025-12-23 09:39:58.726+00",
,,"telenormaritime.com","Telenor Maritime AS","https://telenormaritime.com/","telenormaritime.com","985 173 710","https://www.proff.no/selskap/telenor-maritime-as/arendal/telekommunikasjon/IGAJOWE01PE","NOK -5 347 (2024) — belf8p vist i 1000 NOK on Proff","NOK 715 148 (2024) — belf8p vist i 1000 NOK pe5 Proff","Kabelbasert, satellittbasert og trådløs telekommunikasjon","108","Kystveien 2D, 4841 Arendal","2025-12-23 09:39:58.726+00",
,,"hubocean.earth","HUB Ocean Foundation","https://www.hubocean.earth","hubocean.earth","925 365 297","https://www.proff.no/selskap/stiftelsen-hub-ocean/fornebu/fondlegat/IFAXSFL10NC","NOK 1 629 (2024)","No data","Non-profit foundation, Ocean Technology, Environmental Technology","17","John Strandruds allé 10, 1366 Lysaker","2025-12-23 09:39:59.004+00",
,,"statsbygg.no","Statsbygg","statsbygg.no","statsbygg.no","971 278 374","https://www.proff.no/selskap/statsbygg/oslo/annen-forretningsmessig-tjenesteyting/IG29V6U10LQ","NOK 1,046,542,000 (2003)","NOK 2,338,854,000 (2003)","Annen forretningsmessig tjenesteyting","988","Oslo","2025-12-23 09:39:59.479+00",
,,"minflyt.no","Visma Flyt AS","https://minflyt.no/","minflyt.no","933 287 335","https://www.proff.no/selskap/visma-flyt-as/oslo/dataprogramvare-og-utvikling/IFFNL47009O","Resultat ff8r skatt2024 35 890 (Belf8p i 1000; NOK)","Sum driftsinntekter2024 550 799 (Belf8p i 1000; NOK)","Dataprogramvare og -utvikling","196","Karenslyst Allé 56, 0277 Oslo","2025-12-23 09:39:58.726+00",
,,"furuno.no","Furuno Norge AS","https://www.furuno.no/no/","furuno.no","927 200 724","https://www.proff.no/selskap/furuno-norge-as/%C3%A5lesund/grossister/IFC14NO10NS","24 321 (Belf8p i 1000) (2024)","405 964 (Belf8p i 1000) (2024)","Grossister; Maskiner og utstyr; Engroshandel med maskiner og utstyr ellers","42","Sjømannsvegen 19, 6008 Ålesund","2025-12-23 09:39:58.726+00",
,,"miljofyrtarn.no","Stiftelsen Miljøfyrtårn","https://www.miljofyrtarn.no/","miljofyrtarn.no","986 327 401","https://www.proff.no/selskap/stiftelsen-milj%C3%B8fyrt%C3%A5rn/kristiansand-s/fondlegat/IGB8F3D10NC","10 000 (Beløp i 1000 NOK, 2024)","63 011 (Beløp i 1000 NOK, 2024)","Aktiviteter i fond/legat som støtter veldedige og allmennyttige formål","35","Vestre Strandgate 12, 4610 Kristiansand S","2025-12-23 09:39:58.726+00",
,,"santander.com","Santander Consumer Bank Nordics","http://www.santander.com","santander.com","","","","","","0","0283 Oslo","2025-12-23 09:39:58.726+00",
,,"stoe.no","Stø AS","https://stoe.no/","stoe.no","927 611 929","https://www.proff.no/selskap/st%C3%B8-as/-/-/927611929","NOK 58,191,000 (2024)","NOK 1,382,212,000 (2024)","Dataprogramvare og -utvikling","268","Oslo, Norge, 0150 Oslo","2025-12-23 09:39:59.004+00",
,,"modum-bad.no","Modum Bad","http://www.modum-bad.no","modum-bad.no","970 107 592","https://www.proff.no/selskap/modum-bad/vikersund/forskning-og-utvikling/IG1KRT400FV","48 876 thousand NOK (2024)","338 816 thousand NOK (2024)","Forskning og utvikling","323","Badeveien 287, 3370 Vikersund","2025-12-23 09:39:58.726+00",
,,"admincontrol.com","Admincontrol AS","https://admincontrol.com/","admincontrol.com","987 992 883","https://www.proff.no/selskap/admincontrol-as/oslo/dataprogramvare-og-utvikling/IGC846R009O","NOK 207 355 (2024)","NOK 452 523 (2024)","Utgivelse av annen programvare","94","3044 Drammen","2025-12-23 09:39:58.726+00",
,,"oslonyehoyskole.no","Oslo Nye fagskole","https://oslonyehoyskole.no/om-oslo-nye-fagskole?gad_source=1&gad_campaignid=23224983962&gbraid=0AAAAA9czEnlzc_4qBUDTmDY0hvH_6v-es&gclid=CjwKCAiA9aPKBhBhEiwAyz82J3VMrB5wQojk0u_hIZQdPyoma9hO8wAtYddI8_LHMSBP6sJCmRGJjxoCiHsQAvD_BwE","oslonyehoyskole.no","925239704","https://www.proff.no/selskap/oslo-nye-fagskole-as/oslo/fagskoler/IFAV3IW0DWF","Resultat ff8r skatt2024 \t6 213","Sum driftsinntekter2024 1 105","Fagskoler, Skoler og undervisning","7","Ullevålsveien 76, 0454 Oslo","2025-12-30 09:39:58.05+00",
,,"focus.no","SOGELINK NORWAY AS","https://www.focus.no/","focus.no","826 781 742","https://www.proff.no/selskap/sogelink-norway-as/billingstad/dataprogramvare-og-utvikling/IDO8SVI009O","NOK 19 511 000 (2024)","NOK 148 410 000 (2024)","Dataprogramvare og -utvikling","43","Billingstadsletta 19B, 1396 Billingstad","2025-12-24 09:39:58.447+00",
,,"no.auk.eco","Auk","https://no.auk.eco","no.auk.eco","921 415 907","https://www.proff.no/selskap/auk-eco-as/oslo/industridesignere/IF8L52B00N9","NOK -4,895,000 (2024)","NOK 116,282,000 (2024)","Industridesignere","18","0183 Oslo","2025-12-24 09:39:58.447+00",
,,"framo.com","Framo AS","http://www.framo.com","framo.com","912 762 203","https://www.proff.no/selskap/framo-as/florv%C3%A5g/maskiner-og-utstyr-produksjon/IF3FNTN10PP","NOK 377 499 (Beløp i 1000) for 2024","NOK 6 344 020 (Beløp i 1000) for 2024","Produksjon av pumper og kompressorer ellers","98","Florvågvegen 39, 5003 Bergen","2025-12-29 09:39:58.199+00",
,,"sparebank1.no","SpareBank 1 Forvaltning","https://www.sparebank1.no/nb/bank/om-oss/selskaper/sparebank-1-forvaltning.html","sparebank1.no","925 239 690","https://www.proff.no/selskap/sparebank-1-forvaltning-a/oslo/finans/IFAV3II0RSY","NOK 290,867,000 (2024)","NOK 596,626,000 (2024)","Finans","69","0183 Oslo","2025-12-23 09:39:58.726+00",
,,"kitron.com","Kitron AS","kitron.com","kitron.com","979 340 354","https://www.proff.no/selskap/kitron-as/staub%C3%B8/datamaskiner-og-utstyr/IG5G3UC009N","Resultat ff8r skatt2024 158 899","Sum driftsinntekter2024 2 065 450","Produksjon av kretskort","570","Tverrdalsøyveien 100, 4920 Staubø (Arendal)","2025-12-30 09:39:58.05+00",
,,"sensio.com","Sensio","https://www.sensio.com/no/","sensio.com","919 415 223","https://www.proff.no/selskap/sensio-as/oslo/elektroutstyr/IF7E9BR03IB","NOK 29 493 (2024)","NOK 447 699 (2024)","Elektroutstyr","188","Nordre Fokserød 12, 3241 Sandefjord","2025-12-25 09:39:58.19+00",
,,"catacloud.com","Catacloud","www.catacloud.com","catacloud.com","919 875 038","https://www.proff.no/selskap/catacloud-as/fornebu/dataprogramvare-og-utvikling/IF7O44E009O","NOK -7 399 (2024)","NOK 1 269 (2024)","Dataprogramvare og utvikling","12","Fornebu","2025-12-27 09:39:58.204+00",
